sample_id	cohort	taxon	assembly_dir	assembly_url	assembly_filename	assembly_md5	assembly_size_bytes	annotation_url	annotation_filename	annotation_md5	annotation_size_bytes	annotation_status	model	accession	notice_url
B73	NAM	Zea mays subsp. mays	Zm-B73-REFERENCE-NAM-5.0	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0.fa.gz	Zm-B73-REFERENCE-NAM-5.0.fa.gz	8efe28f60e4415df7d7870e448f96c09	645548281	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.gff3	Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.gff3	f871ea0778b4f12992b3ee9ebb67d4b6	159777289	official	Zm00001eb.1	GCA_902167145.1;GCF_902167145.1	https://catalog.data.gov/dataset/maizegdb
B97	NAM	Zea mays subsp. mays	Zm-B97-REFERENCE-NAM-1.0	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B97-REFERENCE-NAM-1.0/Zm-B97-REFERENCE-NAM-1.0.fa.gz	Zm-B97-REFERENCE-NAM-1.0.fa.gz	16d95f3a6e7ea6646dd4433e46b77dca	658928872	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B97-REFERENCE-NAM-1.0/Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1.gff3.gz	Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1.gff3.gz	29cf1c7d6408912a7a1884054097113f	12035979	official	Zm00018ab.1	GCA_902167075.1	https://catalog.data.gov/dataset/maizegdb
CML103	NAM	Zea mays subsp. mays	Zm-CML103-REFERENCE-NAM-1.0	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML103-REFERENCE-NAM-1.0/Zm-CML103-REFERENCE-NAM-1.0.fa.gz	Zm-CML103-REFERENCE-NAM-1.0.fa.gz	3bb6694b8d0cb8f26161af1485f68790	654281582	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML103-REFERENCE-NAM-1.0/Zm-CML103-REFERENCE-NAM-1.0_Zm00021ab.1.gff3.gz	Zm-CML103-REFERENCE-NAM-1.0_Zm00021ab.1.gff3.gz	f9284c5ed118f48e78f90245964da521	11954431	official	Zm00021ab.1	GCA_902167055.1	https://catalog.data.gov/dataset/maizegdb
CML228	NAM	Zea mays subsp. mays	Zm-CML228-REFERENCE-NAM-1.0	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML228-REFERENCE-NAM-1.0/Zm-CML228-REFERENCE-NAM-1.0.fa.gz	Zm-CML228-REFERENCE-NAM-1.0.fa.gz	be97ebd92bc0bca5fd5580aa27ab4208	688206108	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML228-REFERENCE-NAM-1.0/Zm-CML228-REFERENCE-NAM-1.0_Zm00022ab.1.gff3.gz	Zm-CML228-REFERENCE-NAM-1.0_Zm00022ab.1.gff3.gz	25415d48476de3e5c7f1f332ee977940	9212887	official	Zm00022ab.1	GCA_902167155.1	https://catalog.data.gov/dataset/maizegdb
CML247	NAM	Zea mays subsp. mays	Zm-CML247-REFERENCE-NAM-1.0	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML247-REFERENCE-NAM-1.0/Zm-CML247-REFERENCE-NAM-1.0.fa.gz	Zm-CML247-REFERENCE-NAM-1.0.fa.gz	5f656cf758a73a89fa035507d0653436	666936986	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML247-REFERENCE-NAM-1.0/Zm-CML247-REFERENCE-NAM-1.0_Zm00023ab.1.gff3.gz	Zm-CML247-REFERENCE-NAM-1.0_Zm00023ab.1.gff3.gz	6dada2e4b38fe652508d80130af80a48	12032926	official	Zm00023ab.1	GCA_902166975.1	https://catalog.data.gov/dataset/maizegdb
CML277	NAM	Zea mays subsp. mays	Zm-CML277-REFERENCE-NAM-1.0	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML277-REFERENCE-NAM-1.0/Zm-CML277-REFERENCE-NAM-1.0.fa.gz	Zm-CML277-REFERENCE-NAM-1.0.fa.gz	b11e3d90e1d912a7265077762f61fc24	661638355	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML277-REFERENCE-NAM-1.0/Zm-CML277-REFERENCE-NAM-1.0_Zm00024ab.1.gff3.gz	Zm-CML277-REFERENCE-NAM-1.0_Zm00024ab.1.gff3.gz	554e6a7104f62117e0de4e33a569b7a0	8978532	official	Zm00024ab.1	GCA_902166985.1	https://catalog.data.gov/dataset/maizegdb
CML322	NAM	Zea mays subsp. mays	Zm-CML322-REFERENCE-NAM-1.0	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML322-REFERENCE-NAM-1.0/Zm-CML322-REFERENCE-NAM-1.0.fa.gz	Zm-CML322-REFERENCE-NAM-1.0.fa.gz	6f7f767dad05f09cf11d0c6412f33d29	664864171	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML322-REFERENCE-NAM-1.0/Zm-CML322-REFERENCE-NAM-1.0_Zm00025ab.1.gff3.gz	Zm-CML322-REFERENCE-NAM-1.0_Zm00025ab.1.gff3.gz	edc8aae04cbe7a426e3bb74bde142906	12006155	official	Zm00025ab.1	GCA_902167095.1	https://catalog.data.gov/dataset/maizegdb
CML333	NAM	Zea mays subsp. mays	Zm-CML333-REFERENCE-NAM-1.0	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML333-REFERENCE-NAM-1.0/Zm-CML333-REFERENCE-NAM-1.0.fa.gz	Zm-CML333-REFERENCE-NAM-1.0.fa.gz	f25a8f1f83888e0b3097590478d20649	669361978	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML333-REFERENCE-NAM-1.0/Zm-CML333-REFERENCE-NAM-1.0_Zm00026ab.1.gff3.gz	Zm-CML333-REFERENCE-NAM-1.0_Zm00026ab.1.gff3.gz	7142ba8ba8b2b17eae7fbc9a8be0c50c	11920718	official	Zm00026ab.1	GCA_902167025.1	https://catalog.data.gov/dataset/maizegdb
CML52	NAM	Zea mays subsp. mays	Zm-CML52-REFERENCE-NAM-1.0	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML52-REFERENCE-NAM-1.0/Zm-CML52-REFERENCE-NAM-1.0.fa.gz	Zm-CML52-REFERENCE-NAM-1.0.fa.gz	8fdfd5bba5afd3ddeb931a1cb109b4bd	691841851	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML52-REFERENCE-NAM-1.0/Zm-CML52-REFERENCE-NAM-1.0_Zm00019ab.1.gff3.gz	Zm-CML52-REFERENCE-NAM-1.0_Zm00019ab.1.gff3.gz	0fbb1e52514da158f5a2a72864f75f4e	11953808	official	Zm00019ab.1	GCA_902373975.1	https://catalog.data.gov/dataset/maizegdb
CML69	NAM	Zea mays subsp. mays	Zm-CML69-REFERENCE-NAM-1.0	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML69-REFERENCE-NAM-1.0/Zm-CML69-REFERENCE-NAM-1.0.fa.gz	Zm-CML69-REFERENCE-NAM-1.0.fa.gz	2336ddba368dd9a7ce198f9e07091407	668277849	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-CML69-REFERENCE-NAM-1.0/Zm-CML69-REFERENCE-NAM-1.0_Zm00020ab.1.gff3.gz	Zm-CML69-REFERENCE-NAM-1.0_Zm00020ab.1.gff3.gz	369a31e110e0b4c2d88c740176710388	12070919	official	Zm00020ab.1	GCA_902167135.1	https://catalog.data.gov/dataset/maizegdb
